episode,high,mid,low,choice,win,order,total_wins,wins_to_that_point,fund,picked,questions_correct
1,35000,2000,3000,Middle choice,Contestant Wins,1,1,0.0,0,2000.0,1.0
1,40000,12000,2000,Middle choice,Contestant Wins,2,2,1.0,2000,12000.0,6.0
1,35000,10000,2500,Middle choice,Contestant Wins,3,3,2.0,14700,10000.0,5.0
1,45000,8000,1000,Middle choice,Contestant Wins,4,4,3.0,24700,8000.0,4.0
2,25000,12000,2500,Middle choice,Chaser Wins,1,0,0.0,0,12000.0,6.0
2,20000,8000,1000,Top choice,Contestant Wins,2,1,0.0,0,20000.0,4.0
2,30000,10000,2000,Middle choice,Contestant Wins,3,2,1.0,20000,10000.0,5.0
2,50000,16000,3000,Middle choice,Contestant Wins,4,3,2.0,30000,16000.0,8.0
3,25000,6000,370,Middle choice,Contestant Wins,1,1,0.0,0,6000.0,3.0
3,38000,2000,3500,Middle choice,Contestant Wins,2,2,1.0,6000,2000.0,1.0
3,40000,10000,2000,Middle choice,Chaser Wins,3,2,2.0,8700,10000.0,5.0
3,50000,16000,3000,Middle choice,Chaser Wins,4,2,2.0,0,16000.0,8.0
4,26000,6000,1000,Middle choice,Chaser Wins,1,0,0.0,0,6000.0,3.0
4,38000,10000,2500,Top choice,Contestant Wins,2,1,0.0,0,38000.0,5.0
4,42000,10000,2000,Middle choice,Chaser Wins,3,0,1.0,38000,10000.0,5.0
4,45000,12000,3000,Middle choice,Contestant Wins,4,2,1.0,0,12000.0,6.0
5,38000,12000,3200,Middle choice,Contestant Wins,1,1,0.0,0,12000.0,6.0
5,52000,18000,4400,Middle choice,Contestant Wins,2,2,1.0,12000,18000.0,9.0
5,40000,10000,2000,Middle choice,Contestant Wins,3,3,2.0,30000,10000.0,5.0
5,50000,12000,1000,Middle choice,Chaser Wins,4,3,3.0,40000,12000.0,6.0
6,44000,16000,4000,Middle choice,Contestant Wins,1,1,0.0,0,16000.0,8.0
6,50000,2000,2000,Middle choice,Contestant Wins,2,2,1.0,16000,2000.0,1.0
6,55000,2000,500,Middle choice,Chaser Wins,3,2,2.0,18700,2000.0,1.0
6,60000,16000,-1000,Middle choice,Contestant Wins,4,3,2.0,0,16000.0,8.0
7,50000,18000,4000,Middle choice,Chaser Wins,1,0,0.0,0,18000.0,9.0
7,50000,16000,3000,Middle choice,Contestant Wins,2,1,0.0,0,16000.0,8.0
7,30000,6000,1000,Middle choice,Chaser Wins,3,1,1.0,16000,6000.0,3.0
7,45000,2000,2000,Middle choice,Contestant Wins,4,2,1.0,0,2000.0,1.0
8,30000,12000,3000,Middle choice,Contestant Wins,1,1,0.0,0,12000.0,6.0
8,25000,4000,500,Middle choice,Chaser Wins,2,1,1.0,12000,4000.0,2.0
8,40000,8000,2000,Middle choice,Contestant Wins,3,2,1.0,0,8000.0,4.0
8,50000,2000,3500,Middle choice,Contestant Wins,4,3,2.0,8000,2000.0,1.0
9,30000,12000,3000,Middle choice,Contestant Wins,1,1,0.0,0,12000.0,6.0
9,35000,10000,2100,Middle choice,Contestant Wins,2,2,1.0,12000,10000.0,5.0
9,50000,18000,4000,Middle choice,Contestant Wins,3,3,2.0,22000,18000.0,9.0
9,55000,16000,3000,Middle choice,Contestant Wins,4,4,3.0,40000,16000.0,8.0
10,20000,4000,100,Middle choice,Chaser Wins,1,0,0.0,0,4000.0,2.0
10,36000,10000,2000,Middle choice,Chaser Wins,2,0,,0,10000.0,5.0
10,30000,8000,370,Middle choice,Contestant Wins,3,0,,0,8000.0,4.0
10,52000,12000,3000,Middle choice,Contestant Wins,4,1,,8000,12000.0,6.0
11,38000,2000,3000,Low choice,Contestant Wins,1,1,0.0,0,3000.0,1.0
11,44000,16000,4000,Middle choice,Chaser Wins,2,1,1.0,38000,16000.0,8.0
11,37000,12000,2000,Middle choice,Contestant Wins,3,2,1.0,0,12000.0,6.0
11,30000,8000,500,Middle choice,Contestant Wins,4,3,2.0,12000,8000.0,4.0
12,36000,12000,500,Middle choice,Chaser Wins,1,0,0.0,0,12000.0,6.0
12,35000,10000,200,Middle choice,Chaser Wins,2,0,0.0,0,10000.0,5.0
12,40000,16000,4000,Middle choice,Contestant Wins,3,1,0.0,0,16000.0,8.0
12,48000,12000,200,Middle choice,Contestant Wins,4,2,1.0,16000,12000.0,6.0
13,30000,10000,1000,Middle choice,Contestant Wins,1,1,0.0,0,10000.0,5.0
13,50000,16000,2000,Middle choice,Contestant Wins,2,2,1.0,10000,16000.0,8.0
13,60000,16000,370,Middle choice,Contestant Wins,3,3,2.0,26000,16000.0,8.0
13,65000,18000,1000,Middle choice,Contestant Wins,4,4,3.0,42000,18000.0,9.0
14,25000,8000,1000,Middle choice,Contestant Wins,1,1,0.0,0,8000.0,4.0
14,35000,10000,2500,Middle choice,Chaser Wins,2,1,1.0,8000,10000.0,5.0
14,20000,6000,200,Middle choice,Contestant Wins,3,2,1.0,0,6000.0,3.0
14,50000,12000,3000,Middle choice,Contestant Wins,4,3,2.0,6000,12000.0,6.0
15,32000,12000,3000,Middle choice,Chaser Wins,1,0,0.0,0,12000.0,6.0
15,35000,12000,3000,Middle choice,Chaser Wins,2,0,0.0,0,12000.0,6.0
15,50000,18000,4000,Middle choice,Contestant Wins,3,1,0.0,0,18000.0,9.0
15,45000,16000,3500,Middle choice,Contestant Wins,4,2,1.0,18000,16000.0,8.0
16,33000,10000,2500,Middle choice,Chaser Wins,1,0,0.0,0,10000.0,5.0
16,40000,2000,3500,Middle choice,Chaser Wins,2,0,0.0,0,2000.0,1.0
16,45000,2000,4000,Middle choice,Chaser Wins,3,0,0.0,0,2000.0,1.0
16,50000,10000,3000,Middle choice,Contestant Wins,4,1,0.0,0,10000.0,5.0
17,48000,2000,3000,Middle choice,Contestant Wins,1,1,0.0,0,2000.0,1.0
17,60000,16000,4000,Middle choice,Contestant Wins,2,2,1.0,2000,16000.0,8.0
17,65000,2000,2000,Middle choice,Contestant Wins,3,3,2.0,18700,2000.0,1.0
17,50000,12000,-1000,Middle choice,Contestant Wins,4,4,3.0,21400,12000.0,6.0
18,42000,16000,4000,Middle choice,Contestant Wins,1,1,0.0,0,16000.0,8.0
18,40000,10000,2500,Low choice,Contestant Wins,2,2,1.0,16000,2500.0,5.0
18,45000,12000,3000,Low choice,Contestant Wins,3,3,2.0,18500,3000.0,6.0
18,60000,12000,-1000,Middle choice,Contestant Wins,4,4,3.0,21500,12000.0,6.0
19,33000,12000,3000,Middle choice,Chaser Wins,1,0,0.0,0,12000.0,6.0
19,35000,12000,3500,Middle choice,Chaser Wins,2,0,0.0,0,12000.0,6.0
19,30000,6000,500,Middle choice,Contestant Wins,3,1,0.0,0,6000.0,3.0
19,50000,16000,4000,Low choice,Chaser Wins,4,1,1.0,6000,4000.0,8.0
20,35000,2000,3500,Middle choice,Contestant Wins,1,1,0.0,0,2000.0,1.0
20,45000,16000,4000,Middle choice,Contestant Wins,2,2,1.0,2000,16000.0,8.0
20,30000,10000,2500,Middle choice,Chaser Wins,3,2,2.0,18700,10000.0,5.0
20,40000,10000,2500,Middle choice,Contestant Wins,4,3,2.0,0,10000.0,5.0
21,42000,12000,2500,Middle choice,Contestant Wins,1,1,0.0,0,12000.0,6.0
21,38000,8000,1000,Middle choice,Chaser Wins,2,1,1.0,12000,8000.0,4.0
21,50000,12000,3000,Middle choice,Contestant Wins,3,2,1.0,0,12000.0,6.0
21,66000,16000,2000,Top choice,Chaser Wins,4,2,2.0,12000,66000.0,8.0
22,33000,2000,3000,Middle choice,Chaser Wins,1,0,0.0,0,2000.0,1.0
22,30000,10000,2500,Middle choice,Contestant Wins,2,1,0.0,0,10000.0,5.0
22,25000,8000,2000,Middle choice,Contestant Wins,3,2,1.0,10000,8000.0,4.0
22,45000,12000,1000,Middle choice,Chaser Wins,4,2,2.0,18000,12000.0,6.0
23,25000,10000,2000,Middle choice,Chaser Wins,1,0,0.0,0,10000.0,5.0
23,45000,18000,3000,Middle choice,Contestant Wins,2,1,0.0,0,18000.0,9.0
23,30000,6000,500,Middle choice,Chaser Wins,3,1,1.0,18000,6000.0,3.0
23,40000,2000,1000,Middle choice,Contestant Wins,4,2,1.0,0,2000.0,1.0
24,35000,2000,3000,Middle choice,Contestant Wins,1,1,0.0,0,2000.0,1.0
24,45000,16000,2000,Middle choice,Chaser Wins,2,1,1.0,2000,16000.0,8.0
24,40000,10000,1000,Middle choice,Contestant Wins,3,2,1.0,0,10000.0,5.0
24,50000,2000,500,Middle choice,Contestant Wins,4,3,2.0,10000,2000.0,1.0
25,40000,10000,3000,Middle choice,Contestant Wins,1,1,0.0,0,10000.0,5.0
25,50000,10000,3000,Middle choice,Chaser Wins,2,1,1.0,10000,10000.0,5.0
25,60000,18000,6000,Middle choice,Contestant Wins,3,2,1.0,0,18000.0,9.0
25,42000,10000,2000,Top choice,Chaser Wins,4,2,2.0,18000,42000.0,5.0
26,38000,16000,3000,Middle choice,Contestant Wins,1,1,0.0,0,16000.0,8.0
26,28000,6000,1000,Middle choice,Chaser Wins,2,1,1.0,16000,6000.0,3.0
26,35000,12000,2000,Middle choice,Contestant Wins,3,2,1.0,0,12000.0,6.0
26,40000,6000,500,Low choice,Contestant Wins,4,3,2.0,12000,500.0,3.0
27,30000,2000,2500,Middle choice,Chaser Wins,1,0,0.0,0,2000.0,1.0
27,32000,12000,2000,Middle choice,Chaser Wins,2,0,0.0,0,12000.0,6.0
27,40000,2000,3000,Middle choice,Contestant Wins,3,1,0.0,0,2000.0,1.0
27,45000,12000,370,Middle choice,Contestant Wins,4,2,1.0,2000,12000.0,6.0
28,32000,12000,3000,Middle choice,Contestant Wins,1,1,0.0,0,12000.0,6.0
28,54000,16000,4000,Middle choice,Contestant Wins,2,2,1.0,12000,16000.0,8.0
28,60000,16000,3000,Middle choice,Contestant Wins,3,3,2.0,28000,16000.0,8.0
28,65000,20000,5000,Middle choice,Chaser Wins,4,4,3.0,44000,20000.0,10.0
29,20000,4000,1000,Middle choice,Contestant Wins,1,1,0.0,0,4000.0,2.0
29,35000,12000,3000,Middle choice,Contestant Wins,2,2,1.0,4000,12000.0,6.0
29,30000,8000,2000,Middle choice,Contestant Wins,3,3,2.0,16000,8000.0,4.0
29,55000,16000,4000,Middle choice,Contestant Wins,4,4,3.0,24000,16000.0,8.0
30,30000,2000,3000,Middle choice,Contestant Wins,1,1,0.0,0,2000.0,1.0
30,25000,6000,500,Middle choice,Chaser Wins,2,1,1.0,2000,6000.0,3.0
30,35000,12000,2500,Middle choice,Chaser Wins,3,1,1.0,0,12000.0,6.0
30,45000,10000,1000,Middle choice,Chaser Wins,4,1,1.0,0,10000.0,5.0
31,30000,12000,3000,Low choice,Contestant Wins,1,1,0.0,0,3000.0,6.0
31,30000,12000,2000,Middle choice,Chaser Wins,2,1,1.0,3000,12000.0,6.0
31,28000,6000,-100,Middle choice,Contestant Wins,3,2,1.0,0,6000.0,3.0
31,50000,16000,1000,Middle choice,Contestant Wins,4,3,2.0,6000,16000.0,8.0
32,40000,18000,4500,Middle choice,Contestant Wins,1,1,0.0,0,18000.0,9.0
32,18000,4000,100,Middle choice,Contestant Wins,2,2,1.0,18000,4000.0,2.0
32,35000,12000,2000,Middle choice,Contestant Wins,3,3,2.0,22000,12000.0,6.0
32,45000,2000,1000,Middle choice,Contestant Wins,4,4,3.0,34000,2000.0,1.0
33,50000,20000,4000,Middle choice,Chaser Wins,1,0,0.0,0,20000.0,10.0
