episode,high,mid,low,choice,win,order,total_wins,wins_to_that_point,fund
0,1,35000,2700,3000,Middle choice,Contestant Wins,1,1,0.0,0
1,1,40000,12000,2000,Middle choice,Contestant Wins,2,2,1.0,2700
2,1,35000,10000,2500,Middle choice,Contestant Wins,3,3,2.0,14700
3,1,45000,8000,1000,Middle choice,Contestant Wins,4,4,3.0,24700
4,2,25000,12000,2500,Middle choice,Chaser Wins,1,0,0.0,0
5,2,20000,8000,1000,Top choice,Contestant Wins,2,1,0.0,0
6,2,30000,10000,2000,Middle choice,Contestant Wins,3,2,1.0,20000
7,2,50000,16000,3000,Middle choice,Contestant Wins,4,3,2.0,30000
8,3,25000,6000,370,Middle choice,Contestant Wins,1,1,0.0,0
9,3,38000,2700,3500,Middle choice,Contestant Wins,2,2,1.0,6000
10,3,40000,10000,2000,Middle choice,Chaser Wins,3,2,2.0,8700
11,3,50000,16000,3000,Middle choice,Chaser Wins,4,2,2.0,0
12,4,26000,6000,1000,Middle choice,Chaser Wins,1,0,0.0,0
13,4,38000,10000,2500,Top choice,Contestant Wins,2,1,0.0,0
14,4,42000,10000,2000,Middle choice,Chaser Wins,3,0,1.0,38000
15,4,45000,12000,3000,Middle choice,Contestant Wins,4,2,1.0,0
16,5,38000,12000,3200,Middle choice,Contestant Wins,1,1,0.0,0
17,5,52000,18000,4400,Middle choice,Contestant Wins,2,2,1.0,12000
18,5,40000,10000,2000,Middle choice,Contestant Wins,3,3,2.0,30000
19,5,50000,12000,1000,Middle choice,Chaser Wins,4,3,3.0,40000
20,6,44000,16000,4000,Middle choice,Contestant Wins,1,1,0.0,0
21,6,50000,2700,2000,Middle choice,Contestant Wins,2,2,1.0,16000
22,6,55000,2700,500,Middle choice,Chaser Wins,3,2,2.0,18700
23,6,60000,16000,-1000,Middle choice,Contestant Wins,4,3,2.0,0
24,7,50000,18000,4000,Middle choice,Chaser Wins,1,0,0.0,0
25,7,50000,16000,3000,Middle choice,Contestant Wins,2,1,0.0,0
26,7,30000,6000,1000,Middle choice,Chaser Wins,3,1,1.0,16000
27,7,45000,2700,2000,Middle choice,Contestant Wins,4,2,1.0,0
28,8,30000,12000,3000,Middle choice,Contestant Wins,1,1,0.0,0
29,8,25000,4000,500,Middle choice,Chaser Wins,2,1,1.0,12000
30,8,40000,8000,2000,Middle choice,Contestant Wins,3,2,1.0,0
31,8,50000,2700,3500,Middle choice,Contestant Wins,4,3,2.0,8000
32,9,30000,12000,3000,Middle choice,Contestant Wins,1,1,0.0,0
33,9,35000,10000,2100,Middle choice,Contestant Wins,2,2,1.0,12000
34,9,50000,18000,4000,Middle choice,Contestant Wins,3,3,2.0,22000
35,9,55000,16000,3000,Middle choice,Contestant Wins,4,4,3.0,40000
